name,lat,lng,address,area,cuisine,rating,source
Paradise Biriyani,17.409161,78.359912,"Jubilee Hills, Hyderabad",Jubilee Hills,biryani,N/A,generated
KFC,17.456387,78.439806,"Banjara Hills, Hyderabad",Banjara Hills,burger,3.8,generated
Pizza Hut,17.385384,78.427887,"Hi-Tech City, Hyderabad",Hi-Tech City,pizza,3.9,generated
McDonald's,17.434896,78.410845,"Gachibowli, Hyderabad",Gachibowli,burger,3.7,generated
Domino's Pizza,17.424443,78.47159,"Kondapur, Hyderabad",Kondapur,pizza,3.6,generated
Burger King,17.4483,78.453006,"Madhapur, Hyderabad",Madhapur,burger,3.8,generated
Subway,17.396797,78.456293,"SR Nagar, Hyderabad",SR Nagar,sandwich,3.9,generated
Cream Stone,17.42327,78.35724,"Kukatpally, Hyderabad",Kukatpally,ice_cream,4.2,generated
Barista,17.350848,78.414481,"Bachupally, Hyderabad",Bachupally,coffee_shop,3.5,generated
Cafe Coffee Day,17.426768,78.446984,"Miyapur, Hyderabad",Miyapur,coffee_shop,3.4,generated
Taj Falaknama Palace,17.460781,78.332755,"Koti, Hyderabad",Koti,fine_dining,4.7,generated
Olive Garden,17.378551,78.371292,"Abids, Hyderabad",Abids,italian,4.1,generated
Mainland China,17.410541,78.450611,"Secunderabad, Hyderabad",Secunderabad,chinese,4.0,generated
Mamagoto,17.499826,78.391875,"Falaknuma, Hyderabad",Falaknuma,chinese,3.9,generated
Pista House,17.482272,78.364806,"Charminar, Hyderabad",Charminar,biryani,4.0,generated
Shah Ghouse Hotel,17.485196,78.430368,"Tolichowki, Hyderabad",Tolichowki,biryani,4.1,generated
Nectar Kitchen & Bar,17.431036,78.311872,"Mehdipatnam, Hyderabad",Mehdipatnam,indian,4.3,generated
Absolute Barbecues,17.506489,78.426872,"Langer Houz, Hyderabad",Langer Houz,indian,4.4,generated
Karachi Cafe,17.378893,78.414248,"Attapur, Hyderabad",Attapur,south_indian,4.2,generated
Imperial Multi-Cuisine,17.399057,78.367943,"Salar Jung Colony, Hyderabad",Salar Jung Colony,indian,3.8,generated
Grameen Kangan,17.404928,78.355657,"Brabourne Road, Hyderabad",Brabourne Road,indian,3.6,generated
Sizza,17.494072,78.344591,"Nampally, Hyderabad",Nampally,pizza,3.5,generated
Fried Rice Center,17.353717,78.403581,"Shamshabad, Hyderabad",Shamshabad,chinese,3.4,generated
Dhabha,17.403121,78.427599,"Lingampally, Hyderabad",Lingampally,indian,3.7,generated
Amul Ice Cream Parlour,17.396599,78.383047,"Patancheru, Hyderabad",Patancheru,ice_cream,4.1,generated
Hitech Bawarchi,17.408832,78.456814,"Jubilee Hills, Hyderabad",Jubilee Hills,indian,3.8,generated
Universal Biryani Point,17.414923,78.415985,"Banjara Hills, Hyderabad",Banjara Hills,biryani,4.0,generated
Blue Fox,17.465182,78.463947,"Hi-Tech City, Hyderabad",Hi-Tech City,fine_dining,4.2,generated
Chili's American Grill,17.396749,78.457218,"Gachibowli, Hyderabad",Gachibowli,american,3.9,generated
Itmenaan Biryani,17.44113,78.481619,"Kondapur, Hyderabad",Kondapur,biryani,4.3,generated
The Biryani House,17.390387,78.480387,"Madhapur, Hyderabad",Madhapur,biryani,4.1,generated
Meridian Restaurant,17.419495,78.45753,"SR Nagar, Hyderabad",SR Nagar,indian,3.7,generated
